Date,Open,High,Low,Close,Adj Close,Volume
2022-10-24,46.889999,47.310001,46.330002,47.040001,44.612461,5645700
2022-10-25,46.709999,47.939999,46.535000,47.849998,45.380661,5202500
2022-10-26,48.000000,48.549999,47.889999,47.990002,45.513435,6020700
2022-10-27,48.119999,48.485001,47.470001,47.619999,45.162529,4524400
2022-10-28,47.200001,47.770000,46.810001,47.480000,45.029755,6943200
2022-10-31,47.480000,47.821999,46.625000,46.740002,44.327946,6434000
2022-11-01,47.419998,47.570000,46.750000,46.930000,44.508137,4892300
2022-11-02,46.860001,48.619999,46.775002,46.930000,44.508137,7310300
2022-11-03,46.270000,46.970001,45.970001,46.490002,44.090847,5122300
2022-11-04,48.270000,49.880001,48.130001,49.029999,46.499763,10593100
2022-11-07,48.990002,49.529999,48.310001,49.500000,46.945507,5849000
2022-11-08,49.889999,50.349998,49.450001,49.650002,47.087772,4739700
2022-11-09,49.349998,49.389999,47.570000,47.680000,45.219433,5089900
2022-11-10,49.450001,50.020000,49.119999,49.959999,47.381771,6592000
2022-11-11,51.000000,53.439999,50.900002,53.139999,50.397667,9009800
2022-11-14,52.470001,52.895000,51.860001,51.950001,49.269077,5484400
2022-11-15,52.410000,52.700001,51.139999,51.599998,48.937141,4445700
2022-11-16,51.150002,51.220001,50.215000,50.509998,47.903389,4294900
2022-11-17,49.650002,50.150002,49.189999,50.130001,47.542999,3620400
2022-11-18,50.490002,50.520000,49.360001,50.070000,47.486099,3751300
2022-11-21,49.439999,50.669998,48.580002,50.169998,47.580936,5719800
2022-11-22,50.990002,51.779999,50.869999,51.570000,48.908684,4495500
2022-11-23,51.290001,51.740002,51.139999,51.549999,48.889721,3354800
2022-11-25,51.500000,51.820000,51.419998,51.560001,48.899204,1648100
2022-11-28,50.849998,51.154999,49.939999,50.200001,47.609390,5657800
2022-11-29,50.250000,50.825001,49.880001,50.650002,48.715466,4905000
2022-11-30,50.520000,50.970001,49.377998,50.970001,49.023243,7194200
2022-12-01,51.250000,51.509998,50.799999,51.070000,49.119423,4757300
2022-12-02,50.470001,51.700001,50.430000,51.549999,49.581089,4858300
2022-12-05,51.459999,51.939999,50.990002,51.250000,49.292549,5109900
2022-12-06,51.450001,51.865002,50.570000,51.049999,49.100185,4373400
2022-12-07,50.820000,51.339001,50.255001,50.700001,48.763557,4248500
2022-12-08,51.180000,51.430000,50.310001,50.560001,48.628902,3815800
2022-12-09,50.509998,51.400002,50.119999,50.200001,48.282654,3807000
2022-12-12,50.320000,51.130001,49.840000,51.110001,49.157894,5208100
2022-12-13,52.500000,52.830002,51.294998,51.560001,49.590710,4884100
2022-12-14,51.500000,52.048000,50.970001,51.360001,49.398346,4064300
2022-12-15,50.459999,50.562000,49.360001,49.529999,47.638241,6189600
2022-12-16,49.220001,49.970001,48.880001,49.799999,47.897926,8969100
2022-12-19,49.810001,50.314999,48.759998,49.330002,47.445885,4674700
2022-12-20,49.349998,50.005001,49.349998,49.660000,47.763275,4003400
2022-12-21,50.160000,50.930000,50.070000,50.669998,48.734699,3840500
2022-12-22,50.160000,50.250000,49.145000,50.169998,48.253799,3340600
2022-12-23,50.200001,50.910999,49.950001,50.860001,48.917442,2634200
2022-12-27,50.910000,51.220001,50.750000,51.189999,49.234837,3094500
2022-12-28,51.169998,51.349998,49.904999,49.990002,48.080673,3340300
2022-12-29,50.070000,50.801998,50.000000,50.650002,48.715466,2743400
2022-12-30,50.259998,50.530998,49.980000,50.389999,48.465397,2700300
2023-01-03,50.599998,51.150002,50.310001,51.040001,49.090565,3962500
2023-01-04,51.660000,52.505001,51.400002,52.330002,50.331299,4527800
2023-01-05,52.020000,52.980000,51.520000,52.910000,50.889145,4803000
2023-01-06,53.639999,55.235001,53.320000,55.020000,52.918556,6100700
2023-01-09,55.040001,56.189999,54.820000,55.279999,53.168621,6510900
2023-01-10,55.410000,56.580002,55.299999,56.470001,54.313175,6611700
2023-01-11,57.310001,57.889999,57.020000,57.580002,55.380779,8926300
2023-01-12,57.959999,58.798000,57.500000,58.520000,56.284878,7305900
2023-01-13,58.000000,58.775002,57.790001,58.680000,56.438766,4041200
2023-01-17,58.310001,58.480000,57.259998,57.400002,55.207653,5948400
2023-01-18,58.020000,58.349998,56.770000,56.840000,54.669041,5641500
2023-01-19,56.570000,56.990002,55.849998,56.599998,54.438206,4997500
2023-01-20,56.730000,57.555000,56.320000,57.439999,55.246124,6712600
2023-01-23,57.430000,58.400002,57.215000,58.040001,55.823208,5213700
2023-01-24,57.709999,58.459999,57.169998,58.200001,55.977097,5262500
2023-01-25,57.360001,57.974998,56.849998,57.889999,55.678936,5491500
2023-01-26,56.660000,58.570000,55.830002,58.119999,55.900150,8002500
2023-01-27,58.040001,59.330002,57.810001,58.970001,56.717690,6773300
2023-01-30,58.630001,59.235001,57.799999,57.950001,55.736649,4824700
2023-01-31,58.070000,59.450001,57.820000,59.349998,57.083172,5739100
2023-02-01,59.279999,60.715000,58.799999,60.220001,57.919949,5645100
2023-02-02,60.070000,60.419998,59.535999,59.950001,57.660255,4726200
2023-02-03,59.599998,60.243000,59.410000,60.000000,57.708347,3960900
2023-02-06,60.000000,60.299999,59.299999,60.090000,57.794910,4658600
2023-02-07,60.070000,60.875000,59.680000,60.509998,58.198868,4777500
2023-02-08,60.200001,60.509998,59.560001,59.810001,57.525608,3410400
2023-02-09,60.520000,60.709999,58.855000,59.080002,56.823490,3874700
2023-02-10,59.000000,59.840000,58.709999,59.820000,57.535221,3826300
2023-02-13,59.820000,60.415001,59.619999,60.320000,58.016121,3520600
2023-02-14,60.040001,60.040001,59.009998,59.759998,57.477512,3749100
2023-02-15,59.310001,59.759998,59.020000,59.759998,57.477512,2357500
2023-02-16,58.970001,59.384998,58.290001,58.680000,56.438766,4302100
2023-02-17,58.259998,58.505001,57.740002,58.130001,55.909775,4317200
2023-02-21,57.700001,57.880001,56.700001,56.840000,54.669041,6615600
2023-02-22,56.779999,57.435001,56.700001,57.009998,54.832546,3735400
2023-02-23,57.410000,57.720001,56.330002,57.189999,55.005672,4154000
2023-02-24,56.360001,57.875000,56.060001,57.790001,55.582756,4831800
2023-02-27,57.380001,57.639999,56.799999,56.990002,55.485397,5443100
2023-02-28,57.119999,57.509998,56.869999,57.200001,55.689854,5835300
2023-03-01,57.290001,58.654999,57.230000,58.020000,56.488201,4535100
2023-03-02,57.759998,58.646000,57.349998,58.439999,56.897114,3992400
2023-03-03,58.560001,58.750000,57.794998,58.320000,56.780281,3463600
2023-03-06,58.009998,58.250000,56.770000,57.110001,55.602230,4841200
2023-03-07,56.880001,57.200001,55.540001,55.799999,54.326813,5499200
2023-03-08,56.209999,56.869999,56.090000,56.259998,54.774666,4232700
2023-03-09,56.330002,56.669998,54.955002,55.099998,53.645294,4566100
2023-03-10,55.160000,55.180000,53.314999,53.880001,52.457504,5399000
2023-03-13,52.950001,53.240002,51.990002,52.400002,51.016579,8481300
2023-03-14,53.270000,53.740002,51.595001,52.290001,50.909485,8450400
2023-03-15,51.029999,51.029999,49.669998,50.480000,49.147270,8006200
2023-03-16,49.599998,50.980000,49.200001,50.910000,49.565914,6851400
2023-03-17,50.700001,50.840000,49.700001,50.020000,48.699409,11632000
2023-03-20,50.669998,51.410000,50.618000,51.259998,49.906673,5403200
2023-03-21,52.419998,52.590000,51.575001,52.060001,50.685555,4277400
2023-03-22,52.070000,52.658001,51.334999,51.380001,50.023506,4524000
2023-03-23,51.480000,52.939999,51.154999,51.650002,50.286381,4781100
2023-03-24,50.849998,51.930000,50.450001,51.779999,50.412945,4338400
2023-03-27,52.250000,52.700001,51.904999,52.000000,50.627136,4328000
2023-03-28,52.169998,52.959999,52.119999,52.910000,51.513115,3083600
2023-03-29,53.759998,53.849998,53.160000,53.599998,52.184891,3710400
2023-03-30,54.250000,54.299999,53.580002,54.000000,52.574333,3643800
2023-03-31,54.169998,54.889999,53.959999,54.820000,53.372684,4410800
