Date,Open,High,Low,Close,Adj Close,Volume
2000-10-24,4.625000,4.687500,4.562500,4.632813,3.614680,9598400
2000-10-25,4.664063,4.820313,4.632813,4.671875,3.645158,6776800
2000-10-26,4.734375,4.953125,4.656250,4.898438,3.821930,10486400
2000-10-27,4.890625,4.890625,4.757813,4.789063,3.736592,5961600
2000-10-30,4.796875,4.960938,4.796875,4.867188,3.797546,7250400
2000-10-31,4.867188,4.992188,4.820313,4.992188,3.895072,11690400
2000-11-01,4.960938,5.046875,4.890625,4.984375,3.888978,4692800
2000-11-02,5.078125,5.304688,5.070313,5.304688,4.138900,17064000
2000-11-03,5.273438,5.289063,5.164063,5.171875,4.035272,4008000
2000-11-06,5.164063,5.476563,5.164063,5.335938,4.163281,8074400
2000-11-07,5.343750,5.398438,5.250000,5.375000,4.193757,3296800
2000-11-08,5.437500,5.617188,5.375000,5.562500,4.340052,6218400
2000-11-09,5.593750,5.593750,5.375000,5.453125,4.254713,7860800
2000-11-10,5.406250,5.429688,5.140625,5.195313,4.053561,5866400
2000-11-13,5.195313,5.226563,5.140625,5.171875,4.035272,6414400
2000-11-14,5.093750,5.242188,5.039063,5.218750,4.071847,6412800
2000-11-15,5.273438,5.312500,5.164063,5.265625,4.108420,3964000
2000-11-16,5.265625,5.359375,5.164063,5.164063,4.029178,3732800
2000-11-17,5.109375,5.226563,5.078125,5.210938,4.065752,3002400
2000-11-20,5.210938,5.328125,4.921875,5.000000,3.901170,11308800
2000-11-21,5.046875,5.117188,4.953125,5.000000,3.901170,4022400
2000-11-22,4.976563,5.046875,4.921875,5.031250,3.925552,6081600
2000-11-24,5.000000,5.085938,5.000000,5.062500,3.949933,1994400
2000-11-27,5.218750,5.437500,5.195313,5.375000,4.193757,9434400
2000-11-28,5.312500,5.507813,5.218750,5.492188,4.285192,7265600
2000-11-29,5.437500,5.445313,5.265625,5.351563,4.175471,4848800
2000-11-30,5.351563,5.429688,5.312500,5.328125,4.157183,9480000
2000-12-01,5.343750,5.531250,5.343750,5.460938,4.260810,6033600
2000-12-04,5.437500,5.687500,5.437500,5.625000,4.388817,7388000
2000-12-05,5.593750,5.617188,5.460938,5.531250,4.315671,6187200
2000-12-06,5.492188,5.703125,5.398438,5.414063,4.224235,10084000
2000-12-07,5.414063,5.414063,5.031250,5.203125,4.059654,10409600
2000-12-08,5.187500,5.382813,5.179688,5.320313,4.151089,6024000
2000-12-11,5.289063,5.640625,5.195313,5.500000,4.291289,6881600
2000-12-12,5.507813,5.695313,5.507813,5.601563,4.370529,5144000
2000-12-13,5.695313,5.703125,5.578125,5.632813,4.394911,9826400
2000-12-14,5.648438,6.000000,5.640625,6.000000,4.687647,20167200
2000-12-15,5.992188,5.992188,5.789063,5.953125,4.651025,14008800
2000-12-18,5.906250,5.953125,5.820313,5.835938,4.559469,9349600
2000-12-19,5.820313,6.085938,5.804688,5.945313,4.644921,17456000
2000-12-20,5.687500,6.242188,5.679688,6.140625,4.797512,26594400
2000-12-21,6.109375,6.242188,5.984375,6.156250,4.809720,18087200
2000-12-22,6.250000,6.398438,6.242188,6.398438,4.998937,12097600
2000-12-26,6.382813,6.773438,6.382813,6.757813,5.279706,14339200
2000-12-27,6.781250,7.093750,6.750000,7.085938,5.536062,20370400
2000-12-28,7.046875,7.093750,6.968750,7.093750,5.542164,13336000
2000-12-29,7.093750,7.125000,6.898438,6.976563,5.450613,8772800
2001-01-02,6.843750,6.937500,6.703125,6.765625,5.285810,28993600
2001-01-03,6.406250,7.000000,6.343750,6.992188,5.462816,30599200
2001-01-04,6.960938,7.171875,6.921875,7.171875,5.603201,29224000
2001-01-05,7.164063,7.203125,6.859375,6.859375,5.359054,22917600
2001-01-08,6.867188,7.234375,6.757813,7.203125,5.627617,17046400
2001-01-09,7.125000,7.507813,7.062500,7.429688,5.804625,30744800
2001-01-10,7.414063,7.460938,7.242188,7.265625,5.676449,15828800
2001-01-11,7.273438,7.289063,7.101563,7.218750,5.639824,12061600
2001-01-12,7.140625,7.156250,7.015625,7.054688,5.511648,10188800
2001-01-16,7.046875,7.109375,6.843750,6.960938,5.438404,8748000
2001-01-17,6.992188,7.125000,6.921875,6.976563,5.450613,12588800
2001-01-18,6.984375,7.078125,6.968750,7.007813,5.475025,6805600
2001-01-19,6.937500,6.992188,6.500000,6.554688,5.121008,21124800
2001-01-22,6.359375,6.781250,6.359375,6.617188,5.169840,9307200
2001-01-23,6.687500,6.703125,6.507813,6.640625,5.188151,8467200
2001-01-24,6.625000,6.718750,6.468750,6.546875,5.114904,9546400
2001-01-25,6.500000,6.804688,6.492188,6.773438,5.291914,8836800
2001-01-26,6.718750,6.812500,6.546875,6.625000,5.175942,6229600
2001-01-29,6.637500,6.637500,6.425000,6.553750,5.120277,4100800
2001-01-30,6.625000,6.790000,6.563750,6.626250,5.176919,6959200
2001-01-31,6.750000,6.918750,6.673750,6.876250,5.372237,7408000
2001-02-01,6.875000,6.890000,6.772500,6.810000,5.320478,10366400
2001-02-02,6.822500,6.902500,6.758750,6.826250,5.333174,5003200
2001-02-05,6.825000,6.953750,6.822500,6.898750,5.389815,5487200
2001-02-06,6.898750,7.125000,6.898750,7.067500,5.521655,8448000
2001-02-07,7.125000,7.165000,7.036250,7.055000,5.511893,10194400
