Date,Open,High,Low,Close,Adj Close,Volume
2000-10-24,41.000000,42.000000,40.812500,42.000000,26.449657,3011700
2000-10-25,41.500000,41.500000,40.250000,40.250000,25.347588,2285200
2000-10-26,40.625000,42.187500,40.625000,41.750000,26.292227,2189800
2000-10-27,41.625000,43.187500,41.250000,43.125000,27.158127,2949500
2000-10-30,43.187500,45.062500,42.500000,44.375000,27.945345,3589800
2000-10-31,44.250000,45.750000,43.812500,45.625000,28.732519,2650300
2000-11-01,44.062500,44.437500,43.562500,43.937500,27.669813,3837700
2000-11-02,43.000000,44.187500,41.750000,44.187500,27.827251,4616400
2000-11-03,43.500000,44.000000,42.062500,44.000000,27.709185,3073800
2000-11-06,43.375000,43.937500,42.812500,43.937500,27.669813,1800700
2000-11-07,43.750000,43.750000,42.750000,43.250000,27.236860,2098400
2000-11-08,43.000000,43.062500,42.375000,42.875000,27.000700,1606700
2000-11-09,42.937500,43.375000,42.500000,43.062500,27.140934,2860500
2000-11-10,43.000000,43.437500,42.562500,42.875000,27.022758,1813800
2000-11-13,42.750000,43.500000,42.000000,42.937500,27.062136,2021400
2000-11-14,42.250000,43.187500,41.750000,42.875000,27.022758,3289200
2000-11-15,42.875000,43.062500,41.812500,42.312500,26.668238,2268100
2000-11-16,42.312500,42.500000,41.687500,41.875000,26.392496,2194200
2000-11-17,41.750000,41.812500,41.000000,41.312500,26.037962,2222300
2000-11-20,41.312500,41.687500,41.125000,41.250000,25.998575,1277600
2000-11-21,41.437500,41.937500,41.125000,41.750000,26.313709,2021600
2000-11-22,41.500000,44.000000,41.437500,43.875000,27.653030,3683900
2000-11-24,43.875000,43.937500,42.500000,43.125000,27.180315,1137500
2000-11-27,43.000000,45.625000,43.000000,45.000000,28.362078,3590400
2000-11-28,45.250000,45.500000,44.312500,45.187500,28.480257,2390600
2000-11-29,45.312500,45.562500,43.562500,44.562500,28.086346,2293300
2000-11-30,44.062500,45.125000,43.750000,44.562500,28.086346,2421100
2000-12-01,44.125000,44.437500,42.375000,43.250000,27.259117,2516600
2000-12-04,41.500000,42.875000,41.125000,42.750000,26.943979,2295000
